GAME_ID,GAME_DATE,SEASON,SEASON_TYPE,HOME_TEAM,HOME_REST_DAYS,HOME_ROLL_PTS,HOME_ROLL_REB,HOME_ROLL_AST,HOME_ROLL_FG_PCT,HOME_ROLL_PLUS_MINUS,AWAY_TEAM,AWAY_REST_DAYS,AWAY_ROLL_PTS,AWAY_ROLL_REB,AWAY_ROLL_AST,AWAY_ROLL_FG_PCT,AWAY_ROLL_PLUS_MINUS,HOME_WIN,SPLIT
0021500199,2015-11-22,2015,regular_season,OKC,2.0,105.1,47.7,20.8,0.45359999999999995,2.7,DAL,2.0,101.5,42.3,20.5,0.4474,1.78,1,train
0021500200,2015-11-22,2015,regular_season,DEN,2.0,102.7,44.0,23.0,0.4509,-2.7,GSW,2.0,112.4,42.8,29.3,0.48550000000000004,10.3,0,train
0021500201,2015-11-22,2015,regular_season,LAL,2.0,95.9,42.8,19.0,0.4205,-6.0,POR,2.0,101.0,44.1,19.6,0.45200000000000007,-1.8,0,train
0021500202,2015-11-23,2015,regular_season,CHA,3.0,105.7,41.4,21.4,0.4673999999999999,5.9,SAC,2.0,101.1,44.2,24.4,0.4524,-4.4,1,train
0021500203,2015-11-23,2015,regular_season,CLE,2.0,104.8,45.6,23.7,0.4736000000000001,5.6,ORL,2.0,99.5,46.6,22.2,0.4312,0.5,1,train
0021500204,2015-11-23,2015,regular_season,MIA,2.0,97.6,45.8,18.8,0.45660000000000006,5.7,NYK,2.0,96.2,44.4,19.9,0.42089999999999994,0.5,1,train
0021500205,2015-11-23,2015,regular_season,MIL,2.0,95.2,37.8,21.9,0.4558000000000001,-6.7,DET,2.0,96.5,44.8,16.0,0.4383,-1.4,1,train
0021500206,2015-11-23,2015,regular_season,MIN,3.0,101.3,46.0,20.3,0.4508,-2.8,PHI,2.0,90.8,42.3,19.2,0.42210000000000003,-14.4,1,train
0021500207,2015-11-23,2015,regular_season,SAS,2.0,100.2,45.8,26.5,0.4777,8.6,PHX,1.0,107.9,45.9,20.1,0.4519,3.8,1,train
0021500208,2015-11-23,2015,regular_season,UTA,3.0,95.5,42.8,18.2,0.437,0.9,OKC,1.0,106.3,46.3,21.6,0.4582,3.5,0,train
0021500209,2015-11-24,2015,regular_season,WAS,3.0,103.6,42.2,22.9,0.4587,-1.7,IND,3.0,101.7,44.8,22.5,0.44749999999999995,10.4,0,train
0021500210,2015-11-24,2015,regular_season,ATL,3.0,102.6,38.0,26.9,0.46799999999999997,1.1,BOS,2.0,104.6,44.8,24.2,0.45169999999999993,7.8,1,train
0021500211,2015-11-24,2015,regular_season,MEM,3.0,96.9,39.6,20.6,0.43520000000000003,-1.4,DAL,2.0,103.8,41.5,21.1,0.462,2.58,1,train
0021500212,2015-11-24,2015,regular_season,DEN,2.0,101.2,43.2,22.3,0.44329999999999997,-5.1,LAC,2.0,101.0,40.7,21.4,0.45109999999999995,-4.8,0,train
0021500213,2015-11-24,2015,regular_season,POR,2.0,100.9,43.6,21.2,0.44820000000000004,-2.0,CHI,4.0,99.4,48.0,23.4,0.42379999999999995,-0.4,0,train
0021500214,2015-11-24,2015,regular_season,GSW,2.0,113.0,43.2,30.0,0.49239999999999995,11.2,LAL,2.0,95.9,43.7,18.9,0.4204,-6.4,1,train
0021500215,2015-11-25,2015,regular_season,CHA,2.0,105.4,41.0,21.2,0.46579999999999994,3.9,WAS,1.0,105.4,41.3,23.9,0.4652,-3.5,1,train
0021500216,2015-11-25,2015,regular_season,ORL,2.0,99.5,45.0,22.3,0.43390000000000006,-1.8,NYK,2.0,95.4,45.3,19.5,0.4138,-0.2,1,train
0021500217,2015-11-25,2015,regular_season,BOS,1.0,104.5,43.2,24.5,0.45099999999999996,5.6,PHI,2.0,90.1,42.6,18.4,0.4112,-14.3,1,train
0021500218,2015-11-25,2015,regular_season,DET,2.0,97.1,44.6,16.5,0.434,-2.3,MIA,2.0,96.2,46.6,18.2,0.44610000000000005,5.4,1,train
